微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JhOs6zUsy,韶关学院换宿舍  真不是我们想搞事情，是学校搞事情好吧！！真不知道怎么想的，别的学校生怕出事，我们学校是上赶子的 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 08:46,Hi聊,9,0,0
JhOo2vxHG,出2021张剑考研英语一四件套全新，一个字都没写过便宜出，有意者欢迎评论，我来找你，价格可小刀 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 08:36,Hi聊,0,0,4
JhOdXfZN8,你说换宿舍就换咯，现在还不能自己决定去哪一间，都已经和西区的同学说好了去她的宿舍，又说不能填具体宿舍号，真是够麻烦的，活该被骂 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 08:11,Hi聊,8,0,1
JhNZK6CrJ,学校附近有什么快递可以上门取件的么？寄到翁源，东西有点多，真的不方便带。 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 07:36,Hi聊,0,0,2
JhNa3ca66,未来想去广州生活，要求bf结婚在广州有房子，至少付得起首付，这样过份吗？可是他最近打算读博，我要等他读完出来工作的话我自己都快30岁了，年龄的问题对女生应该很现实吧？跟他一直走下去的话，要么等他博士出来工作一起攒钱买房；要么到时候发现两人还是走不到一起，... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 05:29,Hi聊,47,0,34
JhLiP2fHV,好好学习天天向上 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:45,Hi聊,1,0,0
JhLgTkwUX,明天要回去学校那边练车 请问怎么联系zufang的呀 大概zu到开学 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:40,Hi聊,1,0,1
JhLcNgvTg,对学校真的好失望啊，从开始的满心期待到现在的无可奈何，只想快点毕业离开。学校没有带来归属感只有被安排无限被安排去年搬了今年搬了明年还要搬吗？放过我们吧我只想好好读完这四年而不是这么多的糟心事无法选择无法拒绝。你要统一管理为什么不一开始就统一，一而再再... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:30,Hi聊,22,0,5
JhLawB5Ro,学校真的一直在降低我对他的好感度，我读的真的是大学吗，学校已经不是一次两次让我觉得心累了 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:24,Hi聊,15,0,3
JhL9YCdjM,如果提前回去会被发现吗？打卡定位怎么办呀 今天还统计有没有自己返校的人来着 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:23,Hi聊,3,0,1
